Issue key,Issue Type,Summary,Status,Priority,Assignee,Reporter,Created,Updated,Fix Version,Components,Labels,Epic Link,Description
VOS-1840,Epic,Smart Hold: prevent venue double-booking,In Progress,High,Priya Raman,Dana Okafor,2025-11-03,2026-02-04,2026.2,Booking,"gtm-impact,source-of-truth",,Introduce a configurable hold state so two sales reps cannot confirm the same space for overlapping times. Replaces the informal spreadsheet workaround several large venues rely on today.
VOS-1841,Story,Add HOLD status to booking state machine,Done,High,Marco Bianchi,Priya Raman,2025-11-10,2026-01-22,2026.2,Booking,api-change,VOS-1840,Booking can move DRAFT -> HOLD -> CONFIRMED. A HOLD expires after a configurable TTL (default 48h) and reverts to DRAFT. Conflicting CONFIRMED bookings are rejected at the API layer.
VOS-1842,Story,Hold expiry TTL configurable per venue,Done,Medium,Marco Bianchi,Priya Raman,2025-11-12,2026-01-25,2026.2,"Booking,Admin",config,VOS-1840,Venue admins can set hold TTL between 1h and 14d. Default 48h. Surfaced in Admin > Booking Rules.
VOS-1843,Story,Conflict detection across overlapping time ranges,Done,High,Lena Vogt,Priya Raman,2025-11-18,2026-01-28,2026.2,Booking,source-of-truth,VOS-1840,"Detect overlap on (space_id, start, end). A new HOLD or CONFIRMED that overlaps an existing CONFIRMED is blocked with error BOOKING_CONFLICT. Overlapping HOLDs are allowed but flagged."
VOS-1844,Bug,Conflict check ignores buffer/turnover time,Done,High,Lena Vogt,Sofia Almeida,2026-01-06,2026-02-01,2026.2,Booking,regression,VOS-1840,Turnover buffer (cleanup time between events) was not counted as occupied. Two events booked back-to-back with no buffer passed conflict detection incorrectly. Fixed by extending effective end time by the venue turnover_minutes setting.
VOS-1845,Story,POST /v2/holds endpoint,Done,High,Marco Bianchi,Priya Raman,2025-11-20,2026-01-29,2026.2,API,"api-change,docs-needed",VOS-1840,"New endpoint to create a hold. Accepts space_id, start, end, optional ttl_hours. Returns 201 with hold id and expires_at, or 409 BOOKING_CONFLICT."
VOS-1846,Task,Release notes + KB article for Smart Hold,In Review,Medium,Eric (Docs),Priya Raman,2026-01-30,2026-02-05,2026.2,Documentation,"docs-needed,gtm-impact",VOS-1840,Draft customer-facing release notes and a KB how-to for configuring holds. Coordinate with PMM on the GTM one-pager. Confirm API reference is generated from the v2 spec.
VOS-1847,Story,Pendo guide for first-time hold creation,To Do,Low,Unassigned,Sofia Almeida,2026-02-02,2026-02-02,2026.3,Adoption,"pendo,adoption",VOS-1840,Add an in-app Pendo walkthrough triggered the first time a rep opens the booking dialog after 2026.2 ships. Goal: drive feature adoption in the first 30 days.
VOS-1848,Story,Salesforce sync: surface hold status on Opportunity,To Do,Medium,Unassigned,Dana Okafor,2026-02-03,2026-02-03,2026.3,Integrations,"salesforce,gtm-impact",VOS-1840,Mirror current hold status to the linked Salesforce Opportunity so AEs see space availability without opening VenueOS.
VOS-1850,Epic,Floorplan Designer v2,In Progress,Medium,Priya Raman,Dana Okafor,2025-09-15,2026-02-04,2026.3,Floorplan,,,Rebuild the drag-and-drop floorplan editor for large multi-hall venues. Out of scope for 2026.2.
VOS-1851,Story,Multi-hall capacity rollups,To Do,Medium,Unassigned,Priya Raman,2025-10-01,2026-01-10,2026.3,"Floorplan,Reporting",,VOS-1850,Aggregate capacity across adjoining halls when sold as a combined space.
VOS-1852,Bug,Reporting export omits cancelled holds,Done,Low,Lena Vogt,Sofia Almeida,2026-01-08,2026-01-20,2026.2,Reporting,,,"Cancelled and expired holds were missing from the booking activity export, understating funnel volume for RevOps."
